Campaign Name,Campaign Group Name,Campaign Status,Cost,Clicks,CTR
Oslo-konvertering,,Paused,"NOK267,799.89","6,519",7.03%
Kristiansand-konvertering,,Paused,"NOK112,937.12","2,310",14.16%
Bergen-konvertering,,Paused,"NOK71,788.54","2,074",1.83%
Trondheim-konvertering,,Paused,"NOK58,223.59","1,489",13.46%
Fredrikstad-konvertering,,Paused,"NOK40,106.51",858,2.96%
Oslo-TRAFIKK,,Enabled,"NOK29,660.63","1,849",6.37%
Tønsberg-konvertering,,Paused,"NOK28,029.90",582,9.78%
Arendal-konvertering,,Paused,"NOK12,533.39",261,13.18%
Harstad-konvertering,,Paused,"NOK8,139.08",234,8.40%
Lillestrøm-konvertering,,Paused,"NOK3,950.91",81,9.56%
