Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
båtførerprøven,Broad match,Enabled,Paused,Enabled,"NOK126,354.53","2,548",14.88%
båtførerbevis,Broad match,Enabled,Paused,Enabled,"NOK93,281.91","2,406",9.66%
båtførerbevis,Broad match,Enabled,Paused,Enabled,"NOK61,292.34","1,282",12.64%
båtførerprøven,Broad match,Enabled,Paused,Enabled,"NOK39,939.31",762,16.56%
båtførerbevis,Broad match,Enabled,Paused,Enabled,"NOK34,022.72",796,11.82%
båtførerprøven,Broad match,Enabled,Paused,Enabled,"NOK27,763.39",654,25.32%
båtførerbevis,Broad match,Enabled,Paused,Enabled,"NOK24,541.08",640,14.09%
båtførerprøven,Broad match,Enabled,Paused,Enabled,"NOK24,515.61",496,14.45%
båtførerprøven,Broad match,Enabled,Paused,Enabled,"NOK18,106.93",305,15.77%
båtførerbevis,Broad match,Enabled,Paused,Enabled,"NOK17,731.97",368,9.53%
båtførerbevis,Broad match,Enabled,Enabled,Enabled,"NOK16,312.31",958,8.23%
båtlappen,Broad match,Enabled,Paused,Enabled,"NOK14,108.90",436,25.17%
båtførerbevis,Broad match,Enabled,Paused,Enabled,"NOK13,349.97",309,9.36%
båtførerprøven,Broad match,Enabled,Paused,Enabled,"NOK12,854.89",224,13.18%
båtførerprøven oslo,Broad match,Enabled,Paused,Enabled,"NOK11,076.27",152,34.39%
båtførerprøven,Broad match,Enabled,Enabled,Enabled,"NOK10,075.00",632,10.14%
båtførerbevis,Broad match,Enabled,Paused,Enabled,"NOK6,055.63",133,11.06%
båtførerkurs,Broad match,Enabled,Paused,Enabled,"NOK5,836.55",119,13.15%
båtførerprøven,Broad match,Enabled,Paused,Enabled,"NOK5,506.43",106,17.52%
båtførerkurs kristiansand,Broad match,Enabled,Paused,Enabled,"NOK4,103.79",61,10.46%
båtførerprøven,Broad match,Enabled,Paused,Enabled,"NOK4,019.32",97,17.23%
ta båtførerprøven,Broad match,Enabled,Paused,Enabled,"NOK3,646.52",71,18.88%
båtlappen,Broad match,Enabled,Paused,Enabled,"NOK3,471.39",105,32.21%
båt,Broad match,Enabled,Paused,Enabled,"NOK3,151.05",132,1.39%
båtlappen,Broad match,Enabled,Paused,Enabled,"NOK2,576.35",99,27.97%
båtførerprøven bergen,Exact match,Removed,Paused,Enabled,"NOK2,547.64",51,30.54%
båtførerprøven,Broad match,Enabled,Paused,Enabled,"NOK2,489.02",50,16.34%
båtførerkurs bergen,Broad match,Enabled,Paused,Enabled,"NOK2,109.75",28,29.17%
båtførerprøven trondheim,Exact match,Removed,Paused,Enabled,"NOK2,044.45",55,37.41%
båtførerbevis,Broad match,Enabled,Paused,Enabled,"NOK1,830.39",66,12.60%
båtlappen,Broad match,Enabled,Enabled,Enabled,"NOK1,756.47",98,21.35%
båtførerprøven kristiansand,Exact match,Removed,Paused,Enabled,"NOK1,316.87",37,45.68%
båtlappen oslo,Broad match,Enabled,Paused,Enabled,"NOK1,253.73",23,26.44%
båtførerregisteret,Broad match,Enabled,Paused,Enabled,"NOK1,165.55",61,5.68%
båtførerprøven kurs oslo,Broad match,Enabled,Paused,Enabled,"NOK1,164.92",18,18.56%
båtlappen,Broad match,Enabled,Paused,Enabled,"NOK1,092.45",24,19.67%
båtførerkurs Oslo,Broad match,Enabled,Paused,Enabled,"NOK1,028.92",18,12.16%
båtførerkurs,Broad match,Enabled,Paused,Enabled,"NOK1,019.29",25,15.92%
båtførerkurs,Broad match,Enabled,Paused,Enabled,NOK944.08,18,13.64%
båtførerkurs,Broad match,Enabled,Paused,Enabled,NOK882.73,14,22.22%
båtlappen,Broad match,Enabled,Paused,Enabled,NOK872.04,29,24.17%
båtførerkurs trondheim,Broad match,Enabled,Paused,Enabled,NOK861.04,23,12.85%
båtførerprøven kurs kristiansand,Broad match,Enabled,Paused,Enabled,NOK844.33,13,48.15%
båtførerprøven oslo,Broad match,Enabled,Paused,Enabled,NOK838.33,16,32.65%
båtlappen,Broad match,Enabled,Paused,Enabled,NOK755.97,15,13.51%
båtførerlappen,Broad match,Enabled,Paused,Enabled,NOK753.92,13,12.04%
båtførerbevis bergen,Broad match,Enabled,Paused,Enabled,NOK740.94,9,24.32%
ta båtførerprøven,Broad match,Enabled,Paused,Enabled,NOK684.77,11,34.38%
båtførerkurs bergen,Exact match,Removed,Paused,Enabled,NOK677.47,18,62.07%
båtførerprøve fredrikstad,Broad match,Enabled,Paused,Enabled,NOK583.35,8,26.67%
